Date,PRECP,TMEAN,TMAX,DISCH,TMIN,SEDM
1/22/1990,0.525382404,0.608905109,0.630665333,0.488454522,0.586529619,0.493646214
1/23/1990,0.525750431,0.628613139,0.643871936,0.485181814,0.601460644,0.493494778
1/25/1990,0.525980449,0.556058394,0.576138069,0.481363622,0.567162564,0.494088773
1/27/1990,0.525715929,0.573905109,0.597748874,0.485000007,0.570246146,0.493357702
1/28/1990,0.527832087,0.552846715,0.568184092,0.486454523,0.571003516,0.492305483
1/29/1990,0.528487637,0.544014599,0.557078539,0.482363638,0.569921558,0.492582245
1/30/1990,0.528119609,0.524744526,0.543071536,0.483636347,0.556505275,0.492839426
1/31/1990,0.528786659,0.562189781,0.580690345,0.492727246,0.571328104,0.492336815
2/6/1990,0.529660725,0.537773723,0.554077039,0.486363604,0.563916689,0.49276893
2/7/1990,0.529499712,0.59350365,0.601750875,0.488909086,0.594968894,0.493441253
2/8/1990,0.529166187,0.607554745,0.615007504,0.49318181,0.601460644,0.493669713
2/9/1990,0.530488787,0.567226277,0.571385693,0.489818182,0.588855829,0.493913838
2/10/1990,0.52786659,0.549963504,0.556578289,0.487090893,0.579280498,0.494219321
2/11/1990,0.527004025,0.554014599,0.567533767,0.490909085,0.573437923,0.493315927
2/12/1990,0.527107533,0.569489051,0.599349675,0.496272744,0.561969164,0.493300261
2/13/1990,0.529591719,0.536715328,0.551925963,0.487727264,0.56467406,0.493361619
2/17/1990,0.528016101,0.568357664,0.59929965,0.495909067,0.560346227,0.493347258
2/19/1990,0.529741231,0.559817518,0.576938469,0.491181811,0.571869083,0.49118799
2/20/1990,0.52972973,0.555912409,0.576588294,0.48981815,0.566459291,0.49126893
2/25/1990,0.53013226,0.497116788,0.504702351,0.484090879,0.557046254,0.492898172
3/1/1990,0.527981599,0.521861314,0.555477739,0.489727263,0.538815256,0.493116188
3/2/1990,0.528234618,0.551459854,0.572036018,0.488909086,0.564782256,0.492155352
3/4/1990,0.528384129,0.59270073,0.629614807,0.489999989,0.5636462,0.492638381
3/5/1990,0.530189764,0.627919708,0.648174087,0.495000002,0.595780362,0.493642298
3/6/1990,0.529948246,0.653613139,0.666083042,0.49318181,0.614498242,0.492480418
3/20/1990,0.529971248,0.659343066,0.664982491,0.492272713,0.624181769,0.492010444
3/30/1990,0.532029902,0.617481752,0.61905953,0.477909075,0.611793346,0.491906005
4/3/1990,0.531880391,0.59919708,0.603101551,0.460454535,0.601947525,0.492637076
4/4/1990,0.530074756,0.598649635,0.617058529,0.457272714,0.586042737,0.492441253
4/5/1990,0.530017251,0.561240876,0.584492246,0.454545457,0.565810116,0.491710183
4/6/1990,0.529948246,0.519306569,0.551175588,0.446999993,0.539680822,0.491318538
4/7/1990,0.527889592,0.539963504,0.57893947,0.459636358,0.540275899,0.491644909
4/8/1990,0.527889592,0.577919708,0.598149075,0.470909095,0.575764133,0.491906005
4/9/1990,0.530511788,0.576167883,0.572686343,0.466818177,0.600703273,0.492167102
4/12/1990,0.532087407,0.611058394,0.626763382,0.469181789,0.593941033,0.492689295
4/15/1990,0.53493962,0.629927007,0.625662831,0.480999977,0.623099811,0.492610966
4/16/1990,0.532443933,0.639927007,0.647573787,0.477363624,0.614227752,0.492924282
4/18/1990,0.530787809,0.603430657,0.61985993,0.479818187,0.590100081,0.49272846
4/19/1990,0.530983324,0.604854015,0.637468734,0.486636361,0.573167433,0.49272846
4/22/1990,0.527349051,0.599233577,0.635067534,0.470727288,0.567433054,0.492127937
4/23/1990,0.525589419,0.624160584,0.647923962,0.474181803,0.590478767,0.492400783
4/24/1990,0.52693502,0.625255474,0.623661831,0.476090915,0.618339194,0.492494778
4/25/1990,0.529568718,0.610583942,0.605452726,0.484272717,0.616283473,0.493137076
4/26/1990,0.529350201,0.57810219,0.590545273,0.485000007,0.584257506,0.493013055
4/29/1990,0.529545716,0.59919708,0.613756878,0.498818194,0.590424669,0.493900783
4/30/1990,0.528786659,0.548467153,0.568134067,0.492363665,0.564565864,0.49420235
5/1/1990,0.530235768,0.526934307,0.552976488,0.505272723,0.549039762,0.494212794
6/4/1990,0.529350201,0.507226277,0.539969985,0.484272717,0.533892345,0.493361619
6/5/1990,0.5293387,0.535328467,0.56048024,0.481727267,0.553367595,0.4945953
6/14/1990,0.532006901,0.520182482,0.511605803,0.484181798,0.583770625,0.492480418
6/19/1990,0.534755607,0.546313869,0.549374687,0.492909084,0.581660806,0.493550914
6/28/1990,0.535146636,0.560510949,0.55997999,0.477272737,0.591236137,0.494569191
7/16/1990,0.53492812,0.608540146,0.598949475,0.489090925,0.620286719,0.493798956
7/17/1990,0.532340426,0.589124088,0.577038519,0.483636379,0.615201515,0.49194517
7/18/1990,0.531788384,0.599890511,0.593596798,0.479090897,0.61325399,0.492832898
7/29/1990,0.527268545,0.60379562,0.5983992,0.458181778,0.613849067,0.491383812
7/31/1990,0.526520989,0.580182482,0.588894447,0.470909063,0.589126319,0.49002611
8/6/1990,0.526382979,0.540036496,0.56158079,0.481818154,0.559156072,0.491240209
8/7/1990,0.526371478,0.528321168,0.560030015,0.4872727,0.543467676,0.49116188
8/11/1990,0.527360552,0.520474453,0.550175088,0.474545416,0.542493914,0.490221932
8/14/1990,0.528372628,0.512591241,0.552776388,0.480636364,0.527995672,0.490013055
8/18/1990,0.527475561,0.531788321,0.564082041,0.466454532,0.544225047,0.49035248
8/22/1990,0.527475561,0.543576642,0.573186593,0.472909062,0.551852854,0.491618799
8/25/1990,0.527498562,0.554781022,0.574737369,0.472909062,0.566783879,0.493720627
8/26/1990,0.526164462,0.555072993,0.587443722,0.483818185,0.553475791,0.494673629
8/27/1990,0.5266705,0.565656934,0.590745373,0.48863636,0.565593725,0.494778068
8/28/1990,0.52813111,0.565583942,0.585642821,0.501909096,0.571003516,0.494778068
8/29/1990,0.528522139,0.555875912,0.564732366,0.492727278,0.5792264,0.493668407
8/30/1990,0.527878091,0.538394161,0.556178089,0.496363631,0.562564241,0.493146214
8/31/1990,0.527889592,0.530437956,0.557528764,0.505454562,0.549310252,0.495496084
9/1/1990,0.527889592,0.53689781,0.557878939,0.50545453,0.558506897,0.495613577
9/2/1990,0.527395055,0.538832117,0.55917959,0.499999984,0.559967541,0.495456919
9/3/1990,0.527280046,0.555985401,0.577438719,0.49454547,0.565647823,0.494086162
9/4/1990,0.528050604,0.577372263,0.588894447,0.486363636,0.584960779,0.492154047
9/5/1990,0.527901093,0.589014599,0.586243122,0.469090902,0.605085204,0.489295039
