Date ,PRECTOTCORR,T2M_MAX,T2M_MIN
1-Jan-1989,0.09,2.37,-5.49
2-Jan-1989,0.03,0.36,-5.46
3-Jan-1989,0.98,4.39,-5.12
4-Jan-1989,4.64,2.81,-8.03
5-Jan-1989,17.29,3.39,-2.76
6-Jan-1989,0.72,3.1,-0.26
7-Jan-1989,1.12,15.86,-6
8-Jan-1989,0,-1.42,-7.81
9-Jan-1989,0,3.01,-8.28
10-Jan-1989,0,7.01,-4.84
11-Jan-1989,0.26,5.41,-1.2
12-Jan-1989,0.09,3.25,-3.95
13-Jan-1989,0.04,4.5,-4.52
14-Jan-1989,1.69,3.9,-4.05
15-Jan-1989,0,5.17,-3.48
16-Jan-1989,0,7.77,-4.6
17-Jan-1989,0.01,9.99,-2.02
18-Jan-1989,0,10.97,-1.99
19-Jan-1989,0,14.01,-2.2
20-Jan-1989,0,3.29,-5.19
21-Jan-1989,0,5.16,-5.6
22-Jan-1989,0,10.42,-3.52
23-Jan-1989,0.87,5.91,-2.16
24-Jan-1989,2.44,10.78,1.7
25-Jan-1989,11.65,15.76,6.71
26-Jan-1989,1.59,6.01,-3.52
27-Jan-1989,0,10.28,-4.31
28-Jan-1989,1.22,11.86,-2.83
29-Jan-1989,1.61,10.12,2.54
30-Jan-1989,0,11.68,-0.33
31-Jan-1989,0.01,19.01,2.35
1-Feb-1989,2.75,9.07,-0.16
2-Feb-1989,3.12,0.06,-3.43
3-Feb-1989,2.7,-3.87,-12.25
4-Feb-1989,1.88,-11.45,-14.95
5-Feb-1989,2.9,-10.5,-15.31
6-Feb-1989,1.41,-8.45,-14.06
7-Feb-1989,0.03,-2.14,-13.6
8-Feb-1989,0,-5.03,-15.89
9-Feb-1989,0.73,-4.24,-18.72
10-Feb-1989,0.01,1.3,-12.98
11-Feb-1989,0.01,1.86,-6.57
12-Feb-1989,2.9,2.75,-9.15
13-Feb-1989,3.31,3.56,-1.09
14-Feb-1989,2.15,3.25,-3.38
15-Feb-1989,4.85,2.16,-3.6
16-Feb-1989,0,1.56,-5.95
17-Feb-1989,0.04,1.5,-6.23
18-Feb-1989,0.09,3.57,-9.13
19-Feb-1989,1.9,3.63,-4.45
20-Feb-1989,7.4,2.71,-0.55
21-Feb-1989,0.36,2.25,-3.25
22-Feb-1989,0.01,-4.29,-11.7
23-Feb-1989,0,-3.99,-16.99
24-Feb-1989,0,2.4,-13.71
25-Feb-1989,0,9.4,-6.55
26-Feb-1989,0.19,4.58,-3.09
27-Feb-1989,0.01,2.58,-5.38
28-Feb-1989,0,3.79,-3.86
1-Mar-1989,0,2.42,-5.74
2-Mar-1989,0.03,7.83,-3.35
3-Mar-1989,2.7,12.15,-0.17
4-Mar-1989,0.59,7.55,-4.32
5-Mar-1989,10.89,-1.81,-4.79
6-Mar-1989,9.43,0.01,-10.05
7-Mar-1989,0,-0.07,-11.81
8-Mar-1989,0.02,1.69,-10.1
9-Mar-1989,0.06,6.32,-5.72
10-Mar-1989,0,15.76,-1.68
11-Mar-1989,0,19.52,3.07
12-Mar-1989,0.62,8.26,2.26
13-Mar-1989,0.55,15.16,3.51
14-Mar-1989,0.01,23.01,2.55
15-Mar-1989,0,7.07,-4.2
16-Mar-1989,0.16,15.47,-4.77
17-Mar-1989,1.54,23.01,0.32
18-Mar-1989,2.33,4.65,-5.32
19-Mar-1989,10.38,6.04,-6.02
20-Mar-1989,27.6,7.68,-1.68
21-Mar-1989,0,5.22,-4.72
22-Mar-1989,0.02,9.45,-4.99
23-Mar-1989,0,14.73,-3.3
24-Mar-1989,0,19.9,3.39
25-Mar-1989,0.02,21.08,6.05
26-Mar-1989,0.3,22.71,10.58
27-Mar-1989,5.69,24.12,13.88
28-Mar-1989,2.49,24.56,15.88
29-Mar-1989,4.67,17.11,9.71
30-Mar-1989,5.83,12.46,4.01
31-Mar-1989,0.75,10.39,0.94
1-Apr-1989,1.54,15.98,-1.46
2-Apr-1989,27.86,14.78,6.73
3-Apr-1989,9.13,19.82,5.95
4-Apr-1989,0.04,14.09,4.44
5-Apr-1989,0.58,12.83,2.35
6-Apr-1989,1.68,12.38,1.55
7-Apr-1989,2.88,12.53,-1.68
8-Apr-1989,0.16,9.82,-2.02
9-Apr-1989,0,9,-4.92
10-Apr-1989,0,7.01,-5.37
11-Apr-1989,0,11.55,-4.11
12-Apr-1989,0,14.52,1.22
13-Apr-1989,0,15.66,-1.45
14-Apr-1989,2.85,18.5,3.59
15-Apr-1989,0.05,17.37,2.93
16-Apr-1989,0.18,22.75,5.86
17-Apr-1989,1.09,21.8,10.37
18-Apr-1989,1.24,16.08,5.97
19-Apr-1989,0,17.69,2.55
20-Apr-1989,0.01,18.84,4.04
21-Apr-1989,0.05,25.5,6.3
22-Apr-1989,0.08,25.69,11.44
23-Apr-1989,0.44,23.62,14.76
24-Apr-1989,0.05,29.01,13.72
25-Apr-1989,0.16,28.48,19.22
26-Apr-1989,1.65,29.58,18.33
27-Apr-1989,1.51,27.87,18.52
28-Apr-1989,6.27,26.25,17.65
29-Apr-1989,1.18,20.6,8.6
30-Apr-1989,0.22,18.46,5.2
1-May-1989,0.49,18.32,4.44
2-May-1989,0.8,16.62,2.43
3-May-1989,1.19,18.53,4.55
4-May-1989,3.02,21.01,9.13
5-May-1989,0.05,17.44,7.27
6-May-1989,0.02,11.19,2.2
7-May-1989,0,17.69,0.61
8-May-1989,10.7,16.82,6.12
9-May-1989,2.03,17.55,6.9
10-May-1989,0,20.37,4.26
11-May-1989,0,19.1,2.77
12-May-1989,0,21.62,4.98
13-May-1989,0,23.83,8.57
14-May-1989,0.37,18.95,10.37
15-May-1989,0,23.89,10.53
16-May-1989,0,25.9,11.61
17-May-1989,0.06,24.53,12.63
18-May-1989,3.11,24.19,14.89
19-May-1989,3.93,25.37,17.61
20-May-1989,0.2,26.17,13.83
21-May-1989,2.53,24.65,13.05
22-May-1989,11.49,22.52,13.62
23-May-1989,1.42,25.79,10.3
24-May-1989,9.71,28.71,15.73
25-May-1989,19.37,29.15,13.62
26-May-1989,0.38,24.72,12.2
27-May-1989,0,21.54,8.09
28-May-1989,15.27,21.37,8.75
29-May-1989,13.06,29.77,15.4
30-May-1989,0.22,28.65,20.09
31-May-1989,0.7,30.48,21.05
1-Jun-1989,1.28,25.35,18.33
2-Jun-1989,3.2,27.12,15.44
3-Jun-1989,4.34,25.94,18.26
4-Jun-1989,1.03,23.43,15.87
5-Jun-1989,4.72,24.47,14.98
6-Jun-1989,0,26.86,13.75
7-Jun-1989,0,26.78,13.75
8-Jun-1989,0.26,24.79,15.02
9-Jun-1989,0.31,23.69,11.63
10-Jun-1989,0.06,22.76,11.19
11-Jun-1989,8.5,25.68,16.08
12-Jun-1989,2.97,28.08,19.38
13-Jun-1989,0.66,25.04,13.94
14-Jun-1989,0.24,24.08,11.44
15-Jun-1989,0.04,21.55,11.03
16-Jun-1989,1.24,23.05,9.19
17-Jun-1989,4.94,26.91,10.56
18-Jun-1989,6.07,25.94,17.09
19-Jun-1989,0.05,29.18,15.3
20-Jun-1989,0,29.85,17.08
21-Jun-1989,0.01,31.77,17.83
22-Jun-1989,0.32,32.17,20.35
23-Jun-1989,0.05,31.65,20.73
24-Jun-1989,0,31.8,19.98
25-Jun-1989,0.85,32.76,21.14
26-Jun-1989,10.26,31.82,21.85
27-Jun-1989,3.16,29.88,21.3
28-Jun-1989,0,30.79,19.8
29-Jun-1989,0,28.32,14.65
30-Jun-1989,0.61,30.83,15.19
1-Jul-1989,2.55,28.1,20.6
2-Jul-1989,0.4,29.65,19.88
3-Jul-1989,0.08,30.16,18.69
4-Jul-1989,0,34.19,19.08
5-Jul-1989,0,33.8,19.42
6-Jul-1989,0.02,34.66,21.09
7-Jul-1989,0.29,36.72,21.3
8-Jul-1989,0.24,38.02,20.63
9-Jul-1989,0.09,37.67,22.33
10-Jul-1989,0.22,36.31,24.08
11-Jul-1989,0.86,34.27,25.04
12-Jul-1989,1.36,30.2,23.44
13-Jul-1989,0.05,33.48,21.15
14-Jul-1989,0.02,30.72,18.12
15-Jul-1989,1.22,29.59,17.87
16-Jul-1989,0.24,25.88,18.68
17-Jul-1989,1.74,31.48,19.85
18-Jul-1989,8.29,27.23,18.44
19-Jul-1989,10.32,27.66,17.55
20-Jul-1989,11.24,24.72,17.71
21-Jul-1989,10.14,26.03,17.46
22-Jul-1989,3.89,29.24,17.55
23-Jul-1989,3.52,29.37,19.58
24-Jul-1989,3.13,29.19,20.32
25-Jul-1989,1.98,30.26,21.6
26-Jul-1989,2.14,31.94,21.69
27-Jul-1989,0.48,33.95,23.06
28-Jul-1989,3.51,34.79,22.41
29-Jul-1989,8.36,33.7,20.19
30-Jul-1989,4.5,32.96,22.93
31-Jul-1989,0.17,31.31,21.13
1-Aug-1989,0,32.77,18.32
2-Aug-1989,0.04,34.75,18.38
3-Aug-1989,0.48,35.93,23.28
4-Aug-1989,0.02,37.88,23.48
5-Aug-1989,0.41,38.59,25.08
6-Aug-1989,0.01,31.35,18.3
7-Aug-1989,0,26.94,13.59
8-Aug-1989,0,28.9,12.8
9-Aug-1989,0,30.82,14.26
10-Aug-1989,0,30.96,14.66
11-Aug-1989,0,31.08,15.48
12-Aug-1989,0,32.27,16.29
13-Aug-1989,0.01,33.73,17.2
14-Aug-1989,0.87,32.83,18.7
15-Aug-1989,6.15,29.81,19.85
16-Aug-1989,2.98,27.37,18.9
17-Aug-1989,0.42,29.57,17.76
18-Aug-1989,0.44,30.86,15.3
19-Aug-1989,4.73,27.75,16.44
20-Aug-1989,11.4,30.69,21.34
21-Aug-1989,8.53,30.44,22.12
22-Aug-1989,3.36,34.25,23.19
23-Aug-1989,14.81,33.03,24.17
24-Aug-1989,5.36,31.57,22.29
25-Aug-1989,3.17,32.06,20.07
26-Aug-1989,4.59,33.01,22.3
27-Aug-1989,10.77,33.49,24.01
28-Aug-1989,9.2,33.08,22.34
29-Aug-1989,3.13,29.82,21.9
30-Aug-1989,0.87,31.15,17.87
31-Aug-1989,5.81,32.87,20.84
1-Sep-1989,7.84,32.01,20.43
2-Sep-1989,0.03,28.83,17.12
3-Sep-1989,0,28.5,13.55
4-Sep-1989,0.06,29.95,13.96
5-Sep-1989,0.41,31.48,17.95
6-Sep-1989,2.05,31.31,20.28
7-Sep-1989,5.49,33.46,20.63
8-Sep-1989,22.05,27.9,22.95
9-Sep-1989,6.66,25.87,17.33
10-Sep-1989,0,25.32,13.94
11-Sep-1989,1.4,25.01,16.09
12-Sep-1989,3.72,19.34,13.65
13-Sep-1989,8.9,15.51,11.27
14-Sep-1989,11.87,20.59,12.26
15-Sep-1989,0.46,20.39,11.57
16-Sep-1989,0,23.73,12.42
17-Sep-1989,0,25.87,12.87
18-Sep-1989,0.03,26.13,11.88
19-Sep-1989,0.01,26.21,10.3
20-Sep-1989,0,25.54,11.26
21-Sep-1989,0.06,27.1,12.26
22-Sep-1989,0.24,25.1,11.76
23-Sep-1989,0,15.15,4.32
24-Sep-1989,0,18.26,1.72
25-Sep-1989,0.01,22,5.58
26-Sep-1989,0,20.16,6.9
27-Sep-1989,0,20.87,4.12
28-Sep-1989,0,24.62,4.62
29-Sep-1989,0,24.26,10.89
30-Sep-1989,0,27.48,11.35
1-Oct-1989,0.01,28.18,13.38
2-Oct-1989,0,20.93,8.41
3-Oct-1989,0,17.94,4.98
4-Oct-1989,0,19.61,3.73
5-Oct-1989,4.19,27.96,7.95
6-Oct-1989,9.37,20.3,6.74
7-Oct-1989,0.07,16.66,2.14
8-Oct-1989,0.01,18.64,4.16
9-Oct-1989,0,23.55,5.34
10-Oct-1989,0,20.95,6.13
11-Oct-1989,0,28.98,7.44
12-Oct-1989,0,27.91,11.92
13-Oct-1989,0.08,29.98,13.2
14-Oct-1989,0,30.14,11.65
15-Oct-1989,0.34,29.04,15.07
16-Oct-1989,10.22,24.1,10.51
17-Oct-1989,2.57,14.74,3.63
18-Oct-1989,0.14,7.39,2.52
19-Oct-1989,0.12,4.46,1.37
20-Oct-1989,0,11.41,-1.2
21-Oct-1989,0,19.99,0.26
22-Oct-1989,0,20.53,3.79
23-Oct-1989,0.13,25.7,11.29
24-Oct-1989,0.34,25.59,13.65
25-Oct-1989,1.64,25.69,13.33
26-Oct-1989,0,24.61,8.93
27-Oct-1989,0,24.33,9.13
28-Oct-1989,0.07,22.46,9.79
29-Oct-1989,0.15,25.1,11
30-Oct-1989,5.72,17.29,5.7
31-Oct-1989,0.03,11.76,1.99
1-Nov-1989,0,16.43,0.55
2-Nov-1989,0,6.96,-0.93
3-Nov-1989,0,10.93,-3.31
4-Nov-1989,0.02,17.98,2.79
5-Nov-1989,0.25,22.26,7.23
6-Nov-1989,0.7,16.14,1.4
7-Nov-1989,2.2,17.44,7.19
8-Nov-1989,1.77,16.17,1.94
9-Nov-1989,0.01,15.03,-0.56
10-Nov-1989,0.04,12.44,0.09
11-Nov-1989,0.01,21.9,3.68
12-Nov-1989,0,19.01,2.07
13-Nov-1989,1.49,24.99,9.03
14-Nov-1989,8.5,22.91,13.31
15-Nov-1989,4.63,13.99,1.91
16-Nov-1989,0.05,1.29,-7.02
17-Nov-1989,0,8.64,-7.11
18-Nov-1989,0.01,3.72,-6.9
19-Nov-1989,0.15,14.98,-2.24
20-Nov-1989,0,18.36,2.24
21-Nov-1989,0,6.51,-2.66
22-Nov-1989,0.08,5.01,-4.83
23-Nov-1989,0,4.21,-6.53
24-Nov-1989,0,11.48,-3.93
25-Nov-1989,0.14,14.02,1.67
26-Nov-1989,0,13.65,0.51
27-Nov-1989,0.08,21.37,3.88
28-Nov-1989,0.01,3.33,-6.42
29-Nov-1989,0,3.3,-7.8
30-Nov-1989,0,8.7,-4.23
1-Dec-1989,0,12.04,-3.38
2-Dec-1989,0,3.58,-6.78
3-Dec-1989,0,0.01,-8.44
4-Dec-1989,0,8.8,-3.42
5-Dec-1989,0.39,10.73,-0.52
6-Dec-1989,1.06,6.22,-6.01
7-Dec-1989,0.16,-2.84,-6.24
8-Dec-1989,0.04,0.61,-5.1
9-Dec-1989,0.01,6.78,-6.81
10-Dec-1989,0.12,6.44,-2.49
11-Dec-1989,0.03,-1.17,-10.11
12-Dec-1989,0.02,-6.22,-15.4
13-Dec-1989,1,1.05,-10.36
14-Dec-1989,4.86,-8.77,-13.58
15-Dec-1989,0.71,-11.09,-19.36
16-Dec-1989,0,-9.57,-19.09
17-Dec-1989,0.15,-5.79,-15.63
18-Dec-1989,2.18,-7.13,-14.23
19-Dec-1989,0.05,-6.1,-14.35
20-Dec-1989,0.08,-5.49,-13.75
21-Dec-1989,0,-11.86,-25.05
22-Dec-1989,0,-15.64,-26.83
23-Dec-1989,0,-13.5,-25.15
24-Dec-1989,0.02,-7.55,-16.4
25-Dec-1989,0.1,3.3,-10.5
26-Dec-1989,2.07,-2.88,-12.56
27-Dec-1989,0.36,4.22,-4.91
28-Dec-1989,0.4,7.2,-1.59
29-Dec-1989,6.23,6.3,0.6
30-Dec-1989,0.5,6.17,-1.48
31-Dec-1989,0.17,3.44,-3.18
1-Jan-1990,0.02,2.19,-5.05
2-Jan-1990,0.14,8.8,-3.95
3-Jan-1990,4.74,11.9,-1.04
4-Jan-1990,0.08,6.37,-3.63
5-Jan-1990,0,5.04,-4.92
6-Jan-1990,0,6.05,-3.36
7-Jan-1990,0,9.32,-2.74
8-Jan-1990,0.01,11.58,-2.43
9-Jan-1990,0.02,9.01,-2.24
10-Jan-1990,0,11.83,-3.5
11-Jan-1990,0,8.12,-2.46
12-Jan-1990,0,1.26,-5.46
13-Jan-1990,0,3.16,-5.73
14-Jan-1990,0,11.58,-2.71
15-Jan-1990,0.23,9.74,-0.41
16-Jan-1990,0.49,19.83,6.95
17-Jan-1990,10.61,14.05,0.15
18-Jan-1990,0.01,4.8,-3.19
19-Jan-1990,12.93,0.81,-3.68
20-Jan-1990,2.41,5.64,-0.85
21-Jan-1990,0.6,4.99,-3.43
22-Jan-1990,0,10.08,-2.73
23-Jan-1990,0.32,14.62,-0.24
24-Jan-1990,3.13,14.3,-2.24
25-Jan-1990,3.33,9.18,-5.56
26-Jan-1990,0,9.94,-5.63
27-Jan-1990,0,12.42,-2.76
28-Jan-1990,0.03,5.86,-5.2
29-Jan-1990,0,8.73,-4.7
30-Jan-1990,0,10.47,-4.69
31-Jan-1990,0.78,12.87,-5.27
1-Feb-1990,20.47,11.33,2.9
2-Feb-1990,0.2,9.27,-0.01
3-Feb-1990,7.55,5.62,-1.05
4-Feb-1990,3.01,6.98,-3.52
5-Feb-1990,0.03,13.1,-3.99
6-Feb-1990,0.79,10.26,-2.49
7-Feb-1990,0.68,13.23,0.81
8-Feb-1990,0.36,18.75,2.51
9-Feb-1990,1.51,11.77,0.19
10-Feb-1990,0.01,11.21,-2.16
11-Feb-1990,0.02,10.56,-1.74
12-Feb-1990,0,19.89,-0.56
13-Feb-1990,1.84,15.93,1.64
14-Feb-1990,19.99,4.07,-0.11
15-Feb-1990,12.6,5.44,1.23
16-Feb-1990,0.24,-0.1,-6.88
17-Feb-1990,0.02,2.39,-10
18-Feb-1990,0,11.22,-5.11
19-Feb-1990,0,6.19,-5.33
20-Feb-1990,0,5.47,-5.91
21-Feb-1990,2.75,15.17,-2.81
22-Feb-1990,32.9,9.17,0.48
23-Feb-1990,0.48,8.26,-3.76
24-Feb-1990,0,1.91,-7.76
25-Feb-1990,0.33,-3.13,-8.32
26-Feb-1990,0.89,7.62,-5.12
27-Feb-1990,1.58,9.47,-1.38
28-Feb-1990,0.03,1.23,-4.23
1-Mar-1990,0,7.42,-5.4
2-Mar-1990,0,13.22,-3.72
3-Mar-1990,0,6.65,-4.52
4-Mar-1990,0.13,13.13,-4.95
5-Mar-1990,1.7,16.12,0.41
6-Mar-1990,1.82,14.66,3.31
7-Mar-1990,9.82,7.94,0.87
8-Mar-1990,5.23,22.05,7.81
9-Mar-1990,0.01,23.7,4.94
10-Mar-1990,1.89,24.84,14.41
11-Mar-1990,1.94,25.32,15.04
12-Mar-1990,1.9,26.47,17.4
13-Mar-1990,11.18,25.66,16.3
14-Mar-1990,9.54,20.31,16.25
15-Mar-1990,10.53,18.16,6.44
16-Mar-1990,0,17.66,2.77
17-Mar-1990,0.17,13.22,2.19
18-Mar-1990,0.66,10.92,-0.5
19-Mar-1990,0.01,4.12,-5.95
20-Mar-1990,0,10.09,-5.33
21-Mar-1990,1.53,20.32,-0.99
22-Mar-1990,3.95,17.55,2.96
23-Mar-1990,13.76,1.87,-4.02
24-Mar-1990,1.73,3.15,-6.49
25-Mar-1990,0.18,6.4,-7.38
26-Mar-1990,0.55,10.25,-2.44
27-Mar-1990,0.04,12.61,-3.77
28-Mar-1990,8.86,8.35,1.68
29-Mar-1990,2.03,14.67,5.62
30-Mar-1990,3.82,11.29,5.01
31-Mar-1990,1.77,14.65,5.86
1-Apr-1990,1.99,19.83,6.04
2-Apr-1990,0,9.23,0.19
3-Apr-1990,0,12.52,-2.06
4-Apr-1990,0,18.3,0.36
5-Apr-1990,0.07,10.33,-0.48
6-Apr-1990,0,9.64,-4.69
7-Apr-1990,0,11.81,-5.19
8-Apr-1990,0,18.94,-0.88
9-Apr-1990,2.28,19.63,6.15
10-Apr-1990,14,12.98,2.37
11-Apr-1990,0.31,9.49,-2.1
12-Apr-1990,1.75,12.33,-4.19
13-Apr-1990,20.17,9.73,3.3
14-Apr-1990,0.17,15.32,3.72
15-Apr-1990,2.58,14.41,4.9
16-Apr-1990,0.41,20.96,2.76
17-Apr-1990,1.46,11.32,1.32
18-Apr-1990,0.02,12.91,1.17
19-Apr-1990,2.47,17.12,5.07
20-Apr-1990,8.77,22.11,11.92
21-Apr-1990,1.91,21.92,12.15
22-Apr-1990,0.19,24.28,9
23-Apr-1990,1.07,25.94,14.44
24-Apr-1990,0.07,27.64,17.45
25-Apr-1990,0.92,25.59,16.92
26-Apr-1990,3.18,26.82,14.9
27-Apr-1990,12.63,24.16,15.62
28-Apr-1990,1.57,17.9,8.15
29-Apr-1990,0.02,24.9,6.14
30-Apr-1990,0.24,17.44,6.8
1-May-1990,0.5,16.11,6.94
2-May-1990,11.05,14.3,3.31
3-May-1990,17.41,15.73,8.85
4-May-1990,10.56,21.33,7.19
5-May-1990,0.55,19.46,5.77
6-May-1990,0.68,20.65,8.58
7-May-1990,0.01,23.97,8.13
8-May-1990,1.16,24.16,12.9
9-May-1990,6.63,25.25,8.6
10-May-1990,0.59,15.36,5.54
11-May-1990,10.13,19.7,3.08
12-May-1990,36.44,22.6,9.95
13-May-1990,0.93,20.26,7.95
14-May-1990,9.21,24.16,9.65
15-May-1990,34.57,26.71,17.4
16-May-1990,56.47,26.48,13.37
17-May-1990,0,19.7,8.98
18-May-1990,4.15,25.15,7.94
19-May-1990,6.74,25.02,14.84
20-May-1990,0.41,20.3,12.31
21-May-1990,0.35,18.97,10.73
22-May-1990,0,20.45,7.15
23-May-1990,0.16,20.98,9.22
24-May-1990,11.26,21.17,11.51
25-May-1990,16.68,28.98,14.13
26-May-1990,7.3,23.84,15.08
27-May-1990,3.33,19.39,13.47
28-May-1990,0.71,24.06,14.32
29-May-1990,0,24.76,10.94
30-May-1990,0.1,19.53,10.98
31-May-1990,0.08,24.71,8.98
1-Jun-1990,0.63,28.44,16.83
2-Jun-1990,1.19,27.58,15.33
3-Jun-1990,0.01,24.72,11.01
4-Jun-1990,0.09,20.07,7.68
5-Jun-1990,2.34,25.4,9.26
6-Jun-1990,47.21,25.06,18.82
7-Jun-1990,16.58,26.09,17.6
8-Jun-1990,4.32,28.3,21.12
9-Jun-1990,1.24,26.35,17.5
10-Jun-1990,0,26.81,14.76
11-Jun-1990,0,26.85,15.34
12-Jun-1990,0.32,29.51,16.78
13-Jun-1990,3.51,31.12,18.83
14-Jun-1990,4.28,28.35,22.44
15-Jun-1990,0.06,29.14,21.26
16-Jun-1990,0.53,30.66,21.44
17-Jun-1990,2.83,30.73,23.23
18-Jun-1990,0.29,29.28,18.12
19-Jun-1990,2.9,29.37,18.39
20-Jun-1990,21.84,25.76,19.32
21-Jun-1990,0.19,29.51,17.15
22-Jun-1990,3.46,23.11,16.62
23-Jun-1990,0.07,23.57,14.5
24-Jun-1990,0.01,26.2,14.77
25-Jun-1990,0.55,26.74,15.68
26-Jun-1990,0.03,27.27,18.91
27-Jun-1990,0.12,30.83,18.82
28-Jun-1990,0.72,31.62,20.73
29-Jun-1990,3.11,30.98,22.73
30-Jun-1990,1.28,30.26,22.67
1-Jul-1990,0.24,31.81,20.71
2-Jul-1990,0,29.94,17.48
3-Jul-1990,0.06,33.47,19.76
4-Jul-1990,0.72,33.48,23.69
5-Jul-1990,3.06,29.26,22.7
6-Jul-1990,0.93,28.41,19.97
7-Jul-1990,1.88,29.86,17.98
8-Jul-1990,0.01,32.59,23.28
9-Jul-1990,1.43,33.76,22.65
10-Jul-1990,19.61,32.41,21.1
11-Jul-1990,11.29,27.29,20.15
12-Jul-1990,2.9,24.23,16.6
13-Jul-1990,0.89,21.4,14.15
14-Jul-1990,1.09,20.58,13.82
15-Jul-1990,0.11,26.13,12.82
16-Jul-1990,0,29.27,14.86
17-Jul-1990,0,30.22,15.5
18-Jul-1990,0.29,30.76,18.75
19-Jul-1990,4.36,31.29,20.27
20-Jul-1990,10.67,31.19,21.58
21-Jul-1990,17.15,26.39,19.84
22-Jul-1990,6.88,25.75,17.86
23-Jul-1990,0,26.11,14.7
24-Jul-1990,0.04,28.14,18.15
25-Jul-1990,0.05,29.44,16.86
26-Jul-1990,1.5,30.38,17.47
27-Jul-1990,1.41,31.82,19.57
28-Jul-1990,1.68,29.06,21.62
29-Jul-1990,0.36,30.11,22
30-Jul-1990,0.05,29.01,19.97
31-Jul-1990,0,27.9,17.31
1-Aug-1990,0,28.23,14.43
2-Aug-1990,6.86,29.78,15.8
3-Aug-1990,16.03,30.64,18.79
4-Aug-1990,6.61,28.59,21.4
5-Aug-1990,0.24,26.69,17.62
6-Aug-1990,0.01,24.37,14.12
7-Aug-1990,0,25.01,11.86
8-Aug-1990,0,26.25,13.36
9-Aug-1990,0.01,28.08,14.14
10-Aug-1990,0.46,29.4,15.43
11-Aug-1990,1.61,27.97,18.5
12-Aug-1990,6.05,29.91,18.7
13-Aug-1990,0.97,27.7,17.95
14-Aug-1990,0.53,29.27,15.65
15-Aug-1990,7.83,29.92,17
16-Aug-1990,10.8,28.28,20.24
17-Aug-1990,0.89,33.37,20.73
18-Aug-1990,0.06,34.52,21.07
19-Aug-1990,7.67,33.67,21.69
20-Aug-1990,2.94,31.67,22.52
21-Aug-1990,0.27,30.13,20.94
22-Aug-1990,0.04,29.63,18.85
23-Aug-1990,0,31.94,18.77
24-Aug-1990,0,33.99,19.4
25-Aug-1990,0.01,34.94,19.9
26-Aug-1990,0,36.05,20.51
27-Aug-1990,0,38.28,20.45
28-Aug-1990,0.44,38.41,21.79
29-Aug-1990,0.55,33.73,21.22
30-Aug-1990,0,32.97,18.64
31-Aug-1990,0,34.35,16.8
1-Sep-1990,0,36.65,18.44
2-Sep-1990,0.01,37.04,20.05
3-Sep-1990,0.02,36.01,20.53
4-Sep-1990,0.14,37.54,21.52
5-Sep-1990,0.01,38.39,23.4
6-Sep-1990,0.21,38.84,23.15
7-Sep-1990,0.74,31.86,21.73
8-Sep-1990,1.38,31.65,19.75
9-Sep-1990,1.98,33.73,19.36
10-Sep-1990,1.58,31.39,19.32
11-Sep-1990,0.24,27.51,20.44
12-Sep-1990,0.67,30.37,19.33
13-Sep-1990,0.07,31.51,18.74
14-Sep-1990,0,29.81,15.53
15-Sep-1990,0,28.04,11.52
16-Sep-1990,0,25.05,13.07
17-Sep-1990,0.24,23.05,9.33
18-Sep-1990,21.26,25.04,13.02
19-Sep-1990,2.71,24.44,15.21
20-Sep-1990,0.02,25.11,12.4
21-Sep-1990,12.08,25.66,12.04
22-Sep-1990,0,23.84,9.94
23-Sep-1990,0,17.62,7.23
24-Sep-1990,0,22.9,4.98
25-Sep-1990,0,29.36,9.58
26-Sep-1990,0,30.48,11.6
27-Sep-1990,0.04,32.59,13.83
28-Sep-1990,2.19,27.29,16.23
29-Sep-1990,0.46,25.46,13.82
30-Sep-1990,0.05,22.17,10.26
1-Oct-1990,0,26.97,8.2
2-Oct-1990,0.02,28.91,10.05
3-Oct-1990,26.53,25.81,11.51
4-Oct-1990,0,26.2,8.09
5-Oct-1990,0.02,30.15,11.55
6-Oct-1990,11.74,27.96,13.8
7-Oct-1990,16.39,21.08,11.86
8-Oct-1990,9.88,17.42,10.36
9-Oct-1990,24.37,10.83,5.12
10-Oct-1990,1.57,11.54,2.96
11-Oct-1990,0,15.44,0.35
12-Oct-1990,0,19.58,3.16
13-Oct-1990,0.8,21.05,6.49
14-Oct-1990,0.03,24.25,7.65
15-Oct-1990,0.07,19.96,4.45
16-Oct-1990,3.02,25.84,10.23
17-Oct-1990,12.2,23.08,6.47
18-Oct-1990,0.01,13.25,2.43
19-Oct-1990,0.03,15.72,-0.41
20-Oct-1990,0.05,22.01,4.05
21-Oct-1990,0.27,15.58,5.47
22-Oct-1990,0.03,13.51,0.08
23-Oct-1990,0.01,18.26,2.07
24-Oct-1990,0.01,12.07,3.47
25-Oct-1990,0,13,-0.02
26-Oct-1990,0,16.42,-1.06
27-Oct-1990,0.08,18.88,4.27
28-Oct-1990,0.02,14.46,0.13
29-Oct-1990,0,21.01,1.55
30-Oct-1990,0,24.58,6.1
31-Oct-1990,0,24.37,8.51
1-Nov-1990,0,23.75,8.31
2-Nov-1990,0,23.33,11.32
3-Nov-1990,1.95,23.73,10.62
4-Nov-1990,13.19,15.32,2.36
5-Nov-1990,13.9,6.84,0.06
6-Nov-1990,0,11.04,-1.39
7-Nov-1990,0,7.66,-4.47
8-Nov-1990,0.01,6.44,-5.12
